Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
MADD,"DENN, KIAA0358, RAB3GEP",ENSG00000110514,MAP kinase activating death domain,11,47269161-47330031,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA038568,Uncertain,NA,Supported,Plasma membrane<br>Cytosol,"Pancreatic cancer:5.69e-5 (favourable), Endometrial cancer:6.62e-5 (favourable), Urothelial cancer:8.25e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 103.9,Expressed in all,NA,NA
MAMDC2,MGC21981,ENSG00000165072,MAM domain containing 2,9,70043581-70226970,Predicted secreted proteins,Evidence at protein level,"HPA021814, HPA022249",Uncertain,NA,Approved,Nuclear speckles<br>Plasma membrane,Thyroid cancer:7.78e-4 (unfavourable),Mixed,Mixed,NA,NA,endometrium: 60.6,Cell line enhanced,NA,ASC diff: 35.3;HHSteC: 44.9;LHCN-M2: 57.7;TIME: 54.7
MAP2K1,"MAPKK1, MEK1, PRKMK1",ENSG00000169032,Mitogen-activated protein kinase kinase 1,15,66386817-66492312,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB003834, HPA026430",Approved,NA,Enhanced,Plasma membrane<br>Cytosol,Glioma:2.68e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 144.4,Expressed in all,NA,NA
MAP2K7,"Jnkk2, MKK7, PRKMK7",ENSG00000076984,Mitogen-activated protein kinase kinase 7,19,7903843-7914478,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001633, CAB004262, HPA064711",Supported,NA,Approved,Golgi apparatus<br>Plasma membrane<br>Cytosol,"Head and neck cancer:8.54e-5 (favourable), Urothelial cancer:1.56e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,spleen: 19.1,Expressed in all,NA,NA
MAP3K21,"KIAA1804, MLK4",ENSG00000143674,Mitogen-activated protein kinase kinase kinase 21,1,233327768-233385148,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA007636,Uncertain,NA,Approved,Plasma membrane<br>Cytosol,NA,Mixed,Mixed,NA,NA,testis: 17.8,Cell line enhanced,NA,HEK93: 25.2
MAP3K6,"ASK2, MAPKKK6, MEKK6",ENSG00000142733,Mitogen-activated protein kinase kinase kinase 6,1,27355184-27366892,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA051192,Approved,NA,Approved,Nucleus<br>Plasma membrane<br>Actin filaments<br>Cytosol,"Glioma:1.73e-4 (unfavourable), Head and neck cancer:7.26e-4 (favourable), Liver cancer:8.76e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,skin: 114.9,esophagus: 41.2,Mixed,NA,NA
MAP4,NA,ENSG00000047849,Microtubule associated protein 4,3,47850690-48089272,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038149, HPA038150",Enhanced,NA,Supported,Plasma membrane<br>Microtubules<br>Cytosol,Liver cancer:1.82e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,cerebral cortex: 241.9,Expressed in all,NA,NA
MAP4K1,HPK1,ENSG00000104814,Mitogen-activated protein kinase kinase kinase kinase 1,19,38587641-38618882,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA007419, CAB007754",Enhanced,NA,Uncertain,Nucleoplasm<br>Plasma membrane,"Renal cancer:7.99e-10 (unfavourable), Cervical cancer:6.17e-5 (favourable), Head and neck cancer:3.26e-4 (favourable)",Expressed in all,Tissue enhanced,NA,lymph node: 37.3;spleen: 23.8;tonsil: 27.2,appendix: 19.2,Cell line enhanced,NA,Daudi: 34.0;HDLM-2: 44.1;Karpas-707: 34.0;U-266/70: 28.3;U-266/84: 27.3;U-698: 41.0
MAP4K5,"GCKR, KHS, KHS1",ENSG00000012983,Mitogen-activated protein kinase kinase kinase kinase 5,14,50418501-50561126,Predicted intracellular proteins,Evidence at protein level,HPA036696,Uncertain,NA,Approved,Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,endometrium: 55.2,Expressed in all,NA,NA
MAP6,"FLJ41346, KIAA1878, MAP6-N, STOP",ENSG00000171533,Microtubule associated protein 6,11,75586918-75669120,Predicted intracellular proteins,Evidence at protein level,"CAB015442, CAB022600, HPA039061, HPA039062",Enhanced,NA,Uncertain,Plasma membrane,"Pancreatic cancer:3.41e-4 (favourable), Prostate cancer:9.15e-4 (favourable)",Tissue enhanced,Tissue enhanced,NA,cerebral cortex: 68.1;fallopian tube: 65.5,parathyroid gland: 52.6,Group enriched,6,AF22: 37.3;CACO-2: 31.4;HDLM-2: 19.9;SCLC-21H: 73.4;SH-SY5Y: 33.6
MAPK8IP1,"IB1, JIP-1, JIP1, PRKM8IP",ENSG00000121653,Mitogen-activated protein kinase 8 interacting protein 1,11,45885651-45906465,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA058921, HPA070332",NA,NA,Enhanced,Plasma membrane,Renal cancer:1.23e-11 (favourable),Expressed in all,Tissue enriched,5,cerebral cortex: 177.1,parathyroid gland: 33.1,Cell line enhanced,NA,SCLC-21H: 89.8
MAPT,"DDPAC, FLJ31424, FTDP-17, MAPTL, MGC138549, MSTD, MTBT1, MTBT2, PPND, PPP1R103, tau",ENSG00000186868,Microtubule associated protein tau,17,45894382-46028334,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000151, HPA048895, HPA069524, HPA069570, CAB072344",Enhanced,NA,Supported,Nuclear speckles<br>Plasma membrane,NA,Group enriched,Tissue enriched,8,cerebral cortex: 116.2,skeletal muscle: 13.7,Cell line enhanced,NA,HDLM-2: 37.4;SCLC-21H: 16.3;T-47d: 16.5
MARCH10,"FLJ35757, MARCH-X, RNF190",ENSG00000173838,Membrane associated ring-CH-type finger 10,17,62701314-62808344,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA023322,Enhanced,NA,Approved,Plasma membrane<br>Cytosol,NA,Mixed,Tissue enriched,7,testis: 144.4,fallopian tube: 20.5,Cell line enhanced,NA,BEWO: 2.5;EFO-21: 4.5;SCLC-21H: 9.7
MARCH7,"AXOT, MARCH-VII, RNF177",ENSG00000136536,Membrane associated ring-CH-type finger 7,2,159712457-159771027,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA014275, HPA022152",Enhanced,NA,Supported,Plasma membrane<br>Cytosol,"Renal cancer:1.84e-4 (unfavourable), Liver cancer:2.41e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,testis: 113.1,Expressed in all,NA,NA
MARCKS,"80K-L, MACS, PKCSL",ENSG00000277443,Myristoylated alanine rich protein kinase C substrate,6,113857362-113863471,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB022062, HPA054820, HPA067595, HPA069443",Enhanced,NA,Approved,Nucleus<br>Endoplasmic reticulum<br>Plasma membrane<br>Cytosol,"Liver cancer:2.78e-8 (unfavourable), Renal cancer:4.85e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 218.8,Cell line enhanced,NA,AF22: 402.5
MARK2,"EMK1, PAR-1, PAR-1B, Par1b",ENSG00000072518,Microtubule affinity regulating kinase 2,11,63838928-63911019,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038790, HPA074905",Approved,NA,Supported,Nucleoplasm<br>Plasma membrane,"Liver cancer:1.30e-4 (unfavourable), Endometrial cancer:3.21e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,skin: 46.1,Expressed in all,NA,NA
MAS1L,"dJ994E9.2, MAS-L, MRG",ENSG00000204687,"MAS1 proto-oncogene like, G protein-coupled receptor",6,29486697-29487956,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA017983,Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Not detected,Tissue enhanced,NA,"cervix, uterine: 5.1",epididymis: 2.3,Not detected,NA,NA
MBP,NA,ENSG00000197971,Myelin basic protein,18,76978827-77133683,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002300, HPA049222, HPA064368",Enhanced,Supported,Approved,Plasma membrane,Renal cancer:4.48e-12 (favourable),Group enriched,Tissue enriched,29,cerebral cortex: 2930.7,parathyroid gland: 99.8,Cell line enhanced,NA,HL-60: 79.4;SK-MEL-30: 158.4
MCAM,"CD146, MUC18",ENSG00000076706,Melanoma cell adhesion molecule,11,119308529-119321521,"CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,"CAB002147, HPA008848",Enhanced,NA,Enhanced,Plasma membrane,"Renal cancer:5.14e-4 (unfavourable), Cervical cancer:7.61e-4 (unfavourable)",Expressed in all,Mixed,NA,NA,adipose tissue: 367.1,Cell line enhanced,NA,HUVEC TERT2: 935.6;TIME: 901.7;WM-115: 859.1
MCF2L2,"ARHGEF22, KIAA0861",ENSG00000053524,MCF.2 cell line derived transforming sequence-like 2,3,183178043-183428778,"Disease related genes, Predicted intracellular proteins",Evidence at transcript level,"HPA038946, HPA038947",Uncertain,NA,Approved,Plasma membrane<br>Cytosol,NA,Not detected,Group enriched,8,adrenal gland: 10.2;cerebral cortex: 17.2;parathyroid gland: 7.7;spleen: 3.5;testis: 4.7,prostate: 1.0,Cell line enhanced,NA,HDLM-2: 5.5;Karpas-707: 3.6;REH: 3.1
MCOLN1,"ML4, MLIV, MST080, MSTP080, TRPM-L1, TRPML1",ENSG00000090674,Mucolipin 1,19,7522626-7534009,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,"HPA031763, CAB032637",Uncertain,NA,Supported,Plasma membrane<br>Cytosol,"Pancreatic cancer:5.60e-5 (favourable), Renal cancer:5.67e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,spleen: 48.2,Expressed in all,NA,NA
MCTS1,MCT-1,ENSG00000232119,"MCTS1, re-initiation and release factor",X,120594010-120621074,Predicted intracellular proteins,Evidence at protein level,HPA001045,NA,NA,Supported,Plasma membrane<br>Cytosol,"Head and neck cancer:3.27e-5 (unfavourable), Renal cancer:4.35e-5 (unfavourable), Breast cancer:1.38e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 50.7,Expressed in all,NA,NA
MDGA1,"GPIM, MAMDC3",ENSG00000112139,MAM domain containing glycosylphosphatidylinositol anchor 1,6,37630679-37699306,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA031235, HPA050382",Approved,NA,Supported,Golgi apparatus<br>Plasma membrane,NA,Mixed,Mixed,NA,NA,parathyroid gland: 10.1,Mixed,NA,NA
ME1,NA,ENSG00000065833,Malic enzyme 1,6,83210389-83431071,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA006493,Enhanced,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Renal cancer:1.81e-7 (unfavourable), Liver cancer:4.57e-5 (unfavourable)",Expressed in all,Mixed,NA,NA,parathyroid gland: 54.1,Cell line enhanced,NA,CACO-2: 113.5
MEI1,"MGC40042, SPATA38",ENSG00000167077,Meiotic double-stranded break formation protein 1,22,41699499-41799456,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA049240,Approved,NA,Uncertain,Nucleoplasm<br>Plasma membrane,Cervical cancer:1.59e-6 (favourable),Tissue enhanced,Tissue enhanced,NA,testis: 18.6,spleen: 10.7,Cell line enhanced,NA,HMC-1: 7.9;Karpas-707: 21.6;U-266/70: 24.1
MERTK,"c-Eyk, mer, RP38, Tyro12",ENSG00000153208,"MER proto-oncogene, tyrosine kinase",2,111898479-112029561,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA036196, HPA075622",Approved,NA,Approved,Endoplasmic reticulum<br>Plasma membrane<br>Cytosol,"Renal cancer:4.43e-5 (favourable), Lung cancer:4.74e-4 (favourable)",Expressed in all,Mixed,NA,NA,adrenal gland: 77.2,Cell line enhanced,NA,CACO-2: 31.5;Hep G2: 27.2;HUVEC TERT2: 32.3
MET,"DFNB97, HGFR, RCCP2",ENSG00000105976,"MET proto-oncogene, receptor tyrosine kinase",7,116672390-116798386,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,"CAB005282, CAB018577, HPA055607",Uncertain,NA,Supported,Plasma membrane<br>Cytosol,"Pancreatic cancer:1.21e-7 (unfavourable), Head and neck cancer:6.75e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 39.0,Mixed,NA,NA
METAP1,"KIAA0094, MAP1A, MetAP1A",ENSG00000164024,Methionyl aminopeptidase 1,4,98995620-99062813,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB025485, HPA037997, HPA037998",Approved,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Pancreatic cancer:2.28e-5 (unfavourable), Liver cancer:3.08e-5 (unfavourable), Renal cancer:1.72e-4 (favourable), Colorectal cancer:7.22e-4 (favourable), Urothelial cancer:9.31e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,testis: 77.3,Expressed in all,NA,NA
METAP2,"MAP2, MNPEP, p67",ENSG00000111142,Methionyl aminopeptidase 2,12,95473520-95515839,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB013025, HPA019095",Enhanced,NA,Supported,Plasma membrane<br>Cytosol,Liver cancer:4.51e-6 (unfavourable),Expressed in all,Expressed in all,NA,NA,seminal vesicle: 142.4,Expressed in all,NA,NA
METTL15,"FLJ33979, METT5D1",ENSG00000169519,Methyltransferase like 15,11,28108248-28527041,Predicted intracellular proteins,Evidence at protein level,HPA039885,NA,NA,Approved,Golgi apparatus<br>Plasma membrane<br>Actin filaments,Renal cancer:7.95e-5 (favourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 14.7,Expressed in all,NA,NA
METTL25,"C12orf26, FLJ22789",ENSG00000127720,Methyltransferase like 25,12,82358497-82479236,Predicted intracellular proteins,Evidence at protein level,"HPA039534, HPA041207",Uncertain,NA,Uncertain,Plasma membrane<br>Mitochondria<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,testis: 10.9,Mixed,NA,NA
MFAP1,NA,ENSG00000140259,Microfibrillar associated protein 1,15,43804492-43824802,Predicted intracellular proteins,Evidence at protein level,HPA042370,Uncertain,NA,Uncertain,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Renal cancer:1.04e-9 (favourable), Liver cancer:2.50e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 50.2,Expressed in all,NA,NA
MFSD2A,"FLJ14490, MFSD2",ENSG00000168389,Major facilitator superfamily domain containing 2A,1,39955112-39969968,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA043107,Uncertain,NA,Approved,Plasma membrane<br>Cytosol<br>Cytoplasmic bodies,"Renal cancer:4.22e-6 (unfavourable), Urothelial cancer:2.33e-4 (favourable)",Mixed,Tissue enhanced,NA,epididymis: 116.7;seminal vesicle: 110.9,testis: 63.4,Cell line enhanced,NA,THP-1: 112.5
MIB1,"DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6",ENSG00000101752,Mindbomb E3 ubiquitin protein ligase 1,18,21704957-21870957,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA019100, CAB037044",Approved,NA,Approved,Nuclear membrane<br>Vesicles<br>Plasma membrane,NA,Expressed in all,Expressed in all,NA,NA,thyroid gland: 24.2,Expressed in all,NA,NA
MICAL3,KIAA0819,ENSG00000243156,"Microtubule associated monooxygenase, calponin and LIM domain containing 3",22,17787649-18024559,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA000639, HPA003421, HPA034882",Uncertain,NA,Enhanced,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,parathyroid gland: 71.2,Expressed in all,NA,NA
MICALCL,FLJ14966,ENSG00000133808,MICAL C-terminal like,11,12276080-12359144,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,"HPA039895, HPA040438",Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Mixed,Tissue enhanced,NA,skin: 17.3;testis: 13.4,lung: 10.3,Cell line enhanced,NA,HBEC3-KT: 18.3;RT4: 12.1;U-2 OS: 9.9
MISP,"C19orf21, Caprice, DKFZp686H18209, MISP1",ENSG00000099812,Mitotic spindle positioning,19,751126-764318,Predicted intracellular proteins,Evidence at protein level,"HPA049511, HPA062232",Enhanced,NA,Enhanced,Plasma membrane<br>Focal adhesion sites,NA,Tissue enhanced,Group enriched,6,colon: 94.7;duodenum: 173.3;rectum: 52.6;small intestine: 217.1,stomach: 21.6,Cell line enhanced,NA,A549: 110.0;HaCaT: 79.4;hTCEpi: 59.7;SK-BR-3: 101.1
MKLN1,TWA2,ENSG00000128585,Muskelin 1,7,131110096-131496636,Predicted intracellular proteins,Evidence at protein level,"HPA022817, HPA041810",Approved,NA,Approved,Vesicles<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,prostate: 26.0,Expressed in all,NA,NA
MKRN3,"D15S9, MGC88288, RNF63, ZFP127, ZNF127",ENSG00000179455,Makorin ring finger protein 3,15,23565678-23630075,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA029494,Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,Glioma:9.23e-4 (favourable),Mixed,Tissue enhanced,NA,cerebral cortex: 5.9;placenta: 4.1;testis: 3.6,epididymis: 1.1,Cell line enhanced,NA,K-562: 22.8
MLF2,NTN4,ENSG00000089693,Myeloid leukemia factor 2,12,6747996-6767475,Predicted intracellular proteins,Evidence at protein level,"HPA010811, HPA010859",Enhanced,NA,Supported,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 272.5,Expressed in all,NA,NA
MMACHC,"cblC, DKFZP564I122",ENSG00000132763,"Methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria",1,45500053-45513382,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA027394, HPA027399, HPA027402",Uncertain,NA,Supported,Nucleoplasm<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,liver: 8.9,Expressed in all,NA,NA
MMP10,STMY2,ENSG00000166670,Matrix metallopeptidase 10,11,102770503-102780628,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted secreted proteins",Evidence at protein level,CAB002159,Uncertain,NA,Approved,Plasma membrane<br>Cytosol,Urothelial cancer:7.12e-4 (favourable),Tissue enhanced,Tissue enriched,40,endometrium: 443.1,appendix: 11.1,Cell line enhanced,NA,BJ: 10.0;HUVEC TERT2: 12.6;SCLC-21H: 5.6
MMP15,"MT2-MMP, MTMMP2, SMCP-2",ENSG00000102996,Matrix metallopeptidase 15,16,58025566-58046901,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002611, HPA040390",Uncertain,NA,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Renal cancer:8.54e-8 (favourable), Urothelial cancer:3.08e-4 (favourable)",Expressed in all,Tissue enhanced,NA,thyroid gland: 70.1,placenta: 39.3,Cell line enhanced,NA,BEWO: 86.0;WM-115: 73.7
MMP24,MT5-MMP,ENSG00000125966,Matrix metallopeptidase 24,20,35226654-35277000,"Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at transcript level,HPA049280,NA,NA,Approved,Nucleoli<br>Plasma membrane,Renal cancer:8.17e-11 (favourable),Mixed,Tissue enhanced,NA,cerebral cortex: 10.6,lung: 7.0,Cell line enhanced,NA,A549: 32.8;CACO-2: 46.1;RPTEC TERT1: 18.5;U-2 OS: 18.9
MOCS1,MOCOD,ENSG00000124615,Molybdenum cofactor synthesis 1,6,39899578-39934551,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA045783, HPA058177, HPA075505",Uncertain,NA,Approved,Plasma membrane<br>Cytosol,"Cervical cancer:1.07e-5 (unfavourable), Pancreatic cancer:6.07e-5 (favourable)",Expressed in all,Mixed,NA,NA,placenta: 60.3,Cell line enhanced,NA,CACO-2: 38.2
MPHOSPH8,"HSMPP8, mpp8",ENSG00000196199,M-phase phosphoprotein 8,13,19633681-19673459,Predicted intracellular proteins,Evidence at protein level,"HPA039701, HPA040035",Enhanced,NA,Supported,Nucleus<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,ovary: 63.5,Expressed in all,NA,NA
MPHOSPH9,MPP9,ENSG00000051825,M-phase phosphoprotein 9,12,123152320-123244014,Predicted intracellular proteins,Evidence at protein level,HPA037485,Approved,NA,Uncertain,Nucleus<br>Plasma membrane<br>Cytosol,NA,Expressed in all,Mixed,NA,NA,testis: 22.7,Expressed in all,NA,NA
MPI,NA,ENSG00000178802,Mannose phosphate isomerase,15,74890005-74902219,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA007200,Approved,NA,Approved,Plasma membrane<br>Cytosol,Head and neck cancer:2.39e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,parathyroid gland: 52.3,Expressed in all,NA,NA
MPP5,"FLJ12615, PALS1",ENSG00000072415,Membrane palmitoylated protein 5,14,67241109-67335819,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA000993, HPA063890",Enhanced,NA,Uncertain,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Renal cancer:1.71e-12 (favourable), Liver cancer:5.62e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,thyroid gland: 43.9,Expressed in all,NA,NA
MPV17L2,"FKSG24, MGC12972",ENSG00000254858,MPV17 mitochondrial inner membrane protein like 2,19,18193182-18196948,Predicted membrane proteins,Evidence at protein level,HPA043111,Uncertain,NA,Approved,Plasma membrane<br>Cytosol,Renal cancer:2.30e-4 (favourable),Expressed in all,Expressed in all,NA,NA,seminal vesicle: 16.3,Expressed in all,NA,NA
MPZL1,"FLJ21047, PZR",ENSG00000197965,Myelin protein zero like 1,1,167721192-167791919,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA026966, HPA063538",Approved,NA,Supported,Vesicles<br>Plasma membrane,"Renal cancer:3.99e-7 (unfavourable), Liver cancer:4.27e-6 (unfavourable), Lung cancer:3.98e-4 (unfavourable), Thyroid cancer:8.08e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,breast: 111.6,Expressed in all,NA,NA
MR1,HLALS,ENSG00000153029,"Major histocompatibility complex, class I-related",1,181033425-181061938,"FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA048304,NA,NA,Supported,Plasma membrane,NA,Expressed in all,Mixed,NA,NA,thyroid gland: 28.2,Mixed,NA,NA
MRGPRF,"GPR140, GPR168, MGC21621, mrgF",ENSG00000172935,MAS related GPR family member F,11,69004395-69013409,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA028811,Approved,NA,Supported,Nuclear membrane<br>Plasma membrane,NA,Expressed in all,Mixed,NA,NA,smooth muscle: 78.8,Cell line enhanced,NA,ASC diff: 43.0;BJ: 31.1;BJ hTERT+: 74.9;BJ hTERT+ SV40 Large T+: 31.7;U-2197: 40.5
MRNIP,"C5orf45, DKFZp686L2452, LOC51149, MGC65027, MGC78537",ENSG00000161010,MRN complex interacting protein,5,179835133-179862173,Predicted intracellular proteins,Evidence at protein level,HPA043975,Uncertain,NA,Approved,Plasma membrane<br>Cytosol,Renal cancer:2.64e-5 (unfavourable),Expressed in all,Mixed,NA,NA,fallopian tube: 13.8,Mixed,NA,NA
MRPL42,"HSPC204, MRP-L31, MRPL31, MRPS32, PTD007, RPML31",ENSG00000198015,Mitochondrial ribosomal protein L42,12,93467488-93516213,"Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,HPA039398,Approved,NA,Supported,Plasma membrane<br>Mitochondria,"Liver cancer:7.49e-4 (unfavourable), Urothelial cancer:8.12e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,parathyroid gland: 57.2,Expressed in all,NA,NA
MRPL44,"FLJ12701, FLJ13990",ENSG00000135900,Mitochondrial ribosomal protein L44,2,223957404-223967714,"Disease related genes, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,"HPA038147, HPA038148",Approved,NA,Approved,Nucleus<br>Plasma membrane<br>Mitochondria,"Liver cancer:1.29e-4 (unfavourable), Renal cancer:2.02e-4 (favourable)",Expressed in all,Expressed in all,NA,NA,kidney: 37.5,Expressed in all,NA,NA
MS4A1,"B1, Bp35, CD20, MS4A2",ENSG00000156738,Membrane spanning 4-domains A1,11,60455752-60470760,"CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB000015, HPA014341, HPA014391",Enhanced,NA,Supported,Plasma membrane,Breast cancer:4.34e-5 (favourable),Mixed,Group enriched,15,appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8,urinary bladder: 38.3,Group enriched,19,Daudi: 534.8;U-698: 258.0
MSN,NA,ENSG00000147065,Moesin,X,65588377-65741931,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA000263, CAB010898, HPA011135, HPA011227, CAB047336, CAB047338",Enhanced,NA,Enhanced,Plasma membrane,Renal cancer:1.60e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,lung: 420.9,Mixed,NA,NA
MTCP1,"P13MTCP1, p8MTCP1",ENSG00000214827,Mature T-cell proliferation 1,X,155061622-155147937,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA032040,NA,NA,Approved,Nucleoplasm<br>Plasma membrane,Renal cancer:4.52e-8 (unfavourable),Mixed,Mixed,NA,NA,testis: 8.7,Mixed,NA,NA
MTM1,NA,ENSG00000171100,Myotubularin 1,X,150568619-150673322,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA010008, HPA010665",Approved,NA,Supported,Plasma membrane,Renal cancer:7.40e-7 (favourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 27.3,Expressed in all,NA,NA
MTPN,"GCDP, MYOTROPHIN, V-1",ENSG00000105887,Myotrophin,7,135926761-135977353,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA019735,Approved,NA,Approved,Plasma membrane<br>Cytosol,"Liver cancer:1.19e-4 (unfavourable), Pancreatic cancer:3.05e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 193.6,Expressed in all,NA,NA
